"runID","population_size","recaptures"
1,150,70
2,352,19
3,555,10
4,757,18
5,960,10
6,1163,4
7,1365,5
8,1568,11
9,1771,7
10,1973,5
11,2176,6
12,2378,4
13,2581,4
14,2784,2
15,2986,9
16,3189,6
17,3392,9
18,3594,7
19,3797,4
20,4000,6
21,150,58
22,352,18
23,555,16
24,757,0
25,960,11
26,1163,5
27,1365,11
28,1568,4
29,1771,6
30,1973,10
31,2176,3
32,2378,4
33,2581,5
34,2784,5
35,2986,2
36,3189,6
37,3392,5
38,3594,2
39,3797,2
40,4000,7
41,150,74
42,352,42
43,555,22
44,757,9
45,960,9
46,1163,11
47,1365,10
48,1568,10
49,1771,8
50,1973,4
51,2176,3
52,2378,4
53,2581,4
54,2784,3
55,2986,3
56,3189,7
57,3392,8
58,3594,4
59,3797,6
60,4000,4
61,150,71
62,352,43
63,555,15
64,757,11
65,960,16
66,1163,5
67,1365,9
68,1568,9
69,1771,10
70,1973,10
71,2176,12
72,2378,10
73,2581,3
74,2784,3
75,2986,6
76,3189,2
77,3392,4
78,3594,1
79,3797,8
80,4000,5
81,150,69
82,352,28
83,555,15
84,757,9
85,960,13
86,1163,4
87,1365,5
88,1568,9
89,1771,4
90,1973,6
91,2176,9
92,2378,11
93,2581,7
94,2784,9
95,2986,7
96,3189,7
97,3392,8
98,3594,6
99,3797,8
100,4000,4
101,150,70
102,352,20
103,555,14
104,757,10
105,960,3
106,1163,11
107,1365,12
108,1568,9
109,1771,10
110,1973,6
111,2176,7
112,2378,10
113,2581,4
114,2784,13
115,2986,6
116,3189,2
117,3392,9
118,3594,5
119,3797,3
120,4000,4
121,150,67
122,352,39
123,555,10
124,757,5
125,960,17
126,1163,11
127,1365,6
128,1568,5
129,1771,4
130,1973,5
131,2176,10
132,2378,8
133,2581,6
134,2784,2
135,2986,6
136,3189,7
137,3392,4
138,3594,1
139,3797,2
140,4000,4
141,150,64
142,352,32
143,555,15
144,757,16
145,960,18
146,1163,17
147,1365,3
148,1568,7
149,1771,3
150,1973,5
151,2176,5
152,2378,3
153,2581,4
154,2784,2
155,2986,5
156,3189,7
157,3392,6
158,3594,6
159,3797,1
160,4000,8
161,150,66
162,352,35
163,555,24
164,757,18
165,960,6
166,1163,22
167,1365,6
168,1568,7
169,1771,5
170,1973,5
171,2176,8
172,2378,12
173,2581,7
174,2784,3
175,2986,4
176,3189,4
177,3392,4
178,3594,9
179,3797,4
180,4000,5
181,150,61
182,352,47
183,555,19
184,757,30
185,960,11
186,1163,7
187,1365,13
188,1568,8
189,1771,3
190,1973,10
191,2176,0
192,2378,4
193,2581,7
194,2784,4
195,2986,5
196,3189,2
197,3392,8
198,3594,5
199,3797,4
200,4000,3
201,150,70
202,352,21
203,555,12
204,757,4
205,960,14
206,1163,10
207,1365,7
208,1568,3
209,1771,10
210,1973,9
211,2176,9
212,2378,6
213,2581,4
214,2784,9
215,2986,5
216,3189,3
217,3392,1
218,3594,5
219,3797,4
220,4000,1
221,150,70
222,352,26
223,555,13
224,757,23
225,960,10
226,1163,12
227,1365,6
228,1568,13
229,1771,2
230,1973,4
231,2176,4
232,2378,6
233,2581,3
234,2784,5
235,2986,3
236,3189,4
237,3392,9
238,3594,3
239,3797,5
240,4000,2
241,150,66
242,352,33
243,555,21
244,757,10
245,960,14
246,1163,2
247,1365,11
248,1568,8
249,1771,5
250,1973,8
251,2176,9
252,2378,5
253,2581,0
254,2784,6
255,2986,5
256,3189,4
257,3392,4
258,3594,10
259,3797,3
260,4000,2
261,150,71
262,352,30
263,555,17
264,757,13
265,960,10
266,1163,9
267,1365,10
268,1568,9
269,1771,8
270,1973,5
271,2176,6
272,2378,3
273,2581,11
274,2784,5
275,2986,7
276,3189,5
277,3392,5
278,3594,4
279,3797,5
280,4000,8
281,150,60
282,352,33
283,555,7
284,757,5
285,960,13
286,1163,10
287,1365,7
288,1568,2
289,1771,4
290,1973,4
291,2176,10
292,2378,2
293,2581,2
294,2784,5
295,2986,5
296,3189,6
297,3392,2
298,3594,4
299,3797,1
300,4000,2
301,150,65
302,352,29
303,555,17
304,757,17
305,960,11
306,1163,2
307,1365,7
308,1568,10
309,1771,10
310,1973,5
311,2176,4
312,2378,2
313,2581,6
314,2784,7
315,2986,7
316,3189,3
317,3392,5
318,3594,6
319,3797,3
320,4000,6
321,150,79
322,352,23
323,555,15
324,757,15
325,960,15
326,1163,26
327,1365,8
328,1568,10
329,1771,10
330,1973,6
331,2176,3
332,2378,7
333,2581,2
334,2784,5
335,2986,5
336,3189,5
337,3392,9
338,3594,3
339,3797,4
340,4000,5
341,150,63
342,352,38
343,555,12
344,757,9
345,960,9
346,1163,9
347,1365,6
348,1568,7
349,1771,8
350,1973,7
351,2176,7
352,2378,9
353,2581,6
354,2784,4
355,2986,8
356,3189,4
357,3392,6
358,3594,6
359,3797,2
360,4000,7
361,150,64
362,352,34
363,555,25
364,757,7
365,960,0
366,1163,11
367,1365,36
368,1568,12
369,1771,3
370,1973,7
371,2176,4
372,2378,10
373,2581,2
374,2784,5
375,2986,10
376,3189,5
377,3392,5
378,3594,7
379,3797,8
380,4000,4
381,150,70
382,352,24
383,555,32
384,757,11
385,960,7
386,1163,11
387,1365,4
388,1568,3
389,1771,4
390,1973,4
391,2176,4
392,2378,5
393,2581,7
394,2784,6
395,2986,2
396,3189,5
397,3392,4
398,3594,7
399,3797,5
400,4000,1
