"population_size","recaptures"
150,65
352,25
555,17
757,15
960,16
1163,17
1365,9
1568,7
1771,7
1973,3
2176,9
2378,6
2581,8
2784,5
2986,6
3189,12
3392,7
3594,2
3797,8
4000,6
150,70
352,27
555,16
757,12
960,10
1163,15
1365,11
1568,12
1771,18
1973,6
2176,8
2378,6
2581,4
2784,5
2986,5
3189,3
3392,4
3594,5
3797,8
4000,3
150,62
352,26
555,9
757,27
960,3
1163,8
1365,9
1568,11
1771,5
1973,13
2176,5
2378,5
2581,7
2784,6
2986,3
3189,6
3392,11
3594,3
3797,10
4000,6
150,76
352,37
555,12
757,11
960,9
1163,6
1365,9
1568,5
1771,7
1973,2
2176,2
2378,6
2581,7
2784,5
2986,4
3189,6
3392,7
3594,9
3797,9
4000,3
150,69
352,36
555,14
757,15
960,12
1163,39
1365,18
1568,10
1771,13
1973,9
2176,8
2378,4
2581,6
2784,5
2986,9
3189,4
3392,1
3594,7
3797,9
4000,3
150,67
352,19
555,27
757,18
960,12
1163,10
1365,7
1568,18
1771,4
1973,15
2176,7
2378,3
2581,5
2784,8
2986,6
3189,7
3392,3
3594,4
3797,2
4000,4
150,64
352,22
555,12
757,21
960,14
1163,0
1365,8
1568,8
1771,8
1973,5
2176,6
2378,4
2581,2
2784,4
2986,8
3189,2
3392,3
3594,3
3797,6
4000,2
150,64
352,20
555,17
757,8
960,13
1163,8
1365,8
1568,9
1771,3
1973,5
2176,3
2378,3
2581,3
2784,5
2986,5
3189,5
3392,4
3594,2
3797,4
4000,0
150,65
352,8
555,22
757,8
960,16
1163,10
1365,5
1568,7
1771,9
1973,11
2176,6
2378,8
2581,14
2784,3
2986,5
3189,4
3392,9
3594,6
3797,2
4000,6
150,61
352,38
555,14
757,11
960,9
1163,13
1365,8
1568,4
1771,4
1973,7
2176,9
2378,7
2581,6
2784,11
2986,7
3189,7
3392,10
3594,5
3797,5
4000,3
150,67
352,18
555,30
757,18
960,5
1163,9
1365,6
1568,5
1771,4
1973,7
2176,5
2378,6
2581,10
2784,6
2986,7
3189,4
3392,6
3594,2
3797,6
4000,5
150,67
352,33
555,21
757,20
960,0
1163,7
1365,10
1568,7
1771,4
1973,6
2176,8
2378,6
2581,8
2784,5
2986,5
3189,5
3392,5
3594,3
3797,2
4000,4
150,73
352,25
555,0
757,18
960,6
1163,7
1365,5
1568,8
1771,10
1973,7
2176,7
2378,6
2581,5
2784,8
2986,9
3189,4
3392,11
3594,8
3797,5
4000,3
150,67
352,29
555,6
757,5
960,14
1163,17
1365,9
1568,4
1771,3
1973,2
2176,6
2378,5
2581,11
2784,11
2986,1
3189,7
3392,4
3594,3
3797,0
4000,7
150,68
352,25
555,24
757,23
960,13
1163,7
1365,12
1568,10
1771,3
1973,6
2176,6
2378,4
2581,9
2784,2
2986,7
3189,9
3392,6
3594,3
3797,5
4000,6
150,72
352,17
555,20
757,2
960,18
1163,11
1365,6
1568,10
1771,4
1973,9
2176,2
2378,3
2581,1
2784,6
2986,6
3189,4
3392,9
3594,6
3797,6
4000,7
150,66
352,30
555,17
757,15
960,5
1163,5
1365,9
1568,10
1771,3
1973,7
2176,8
2378,6
2581,10
2784,5
2986,6
3189,1
3392,4
3594,5
3797,6
4000,5
150,64
352,26
555,14
757,15
960,13
1163,8
1365,9
1568,13
1771,6
1973,7
2176,6
2378,5
2581,4
2784,4
2986,4
3189,6
3392,2
3594,3
3797,6
4000,8
150,64
352,29
555,26
757,8
960,37
1163,9
1365,13
1568,7
1771,6
1973,8
2176,9
2378,10
2581,2
2784,3
2986,7
3189,5
3392,3
3594,4
3797,9
4000,5
150,66
352,36
555,8
757,22
960,4
1163,10
1365,8
1568,6
1771,4
1973,6
2176,9
2378,2
2581,6
2784,8
2986,4
3189,6
3392,4
3594,9
3797,5
4000,1
150,67
352,24
555,3
757,9
960,9
1163,16
1365,7
1568,6
1771,3
1973,4
2176,4
2378,5
2581,6
2784,4
2986,9
3189,7
3392,7
3594,4
3797,6
4000,3
150,68
352,15
555,25
757,19
960,5
1163,16
1365,13
1568,8
1771,3
1973,6
2176,1
2378,3
2581,2
2784,5
2986,6
3189,8
3392,8
3594,5
3797,5
4000,5
150,69
352,25
555,26
757,28
960,13
1163,17
1365,10
1568,7
1771,15
1973,3
2176,5
2378,6
2581,4
2784,6
2986,5
3189,6
3392,9
3594,1
3797,3
4000,5
150,66
352,29
555,10
757,18
960,8
1163,3
1365,8
1568,9
1771,3
1973,16
2176,4
2378,7
2581,1
2784,11
2986,6
3189,3
3392,5
3594,7
3797,3
4000,2
150,67
352,29
555,26
757,12
960,12
1163,12
1365,4
1568,5
1771,5
1973,10
2176,6
2378,3
2581,4
2784,3
2986,2
3189,3
3392,12
3594,4
3797,4
4000,5
150,71
352,20
555,15
757,15
960,13
1163,8
1365,7
1568,4
1771,8
1973,11
2176,7
2378,7
2581,3
2784,1
2986,3
3189,7
3392,6
3594,5
3797,5
4000,7
150,60
352,26
555,15
757,11
960,5
1163,5
1365,7
1568,3
1771,5
1973,8
2176,11
2378,8
2581,4
2784,7
2986,4
3189,6
3392,5
3594,3
3797,4
4000,2
150,67
352,36
555,11
757,6
960,23
1163,4
1365,4
1568,6
1771,15
1973,12
2176,8
2378,9
2581,5
2784,6
2986,4
3189,4
3392,3
3594,4
3797,7
4000,5
150,65
352,26
555,16
757,21
960,7
1163,15
1365,4
1568,7
1771,7
1973,9
2176,6
2378,11
2581,6
2784,3
2986,2
3189,2
3392,11
3594,8
3797,4
4000,3
150,69
352,32
555,6
757,11
960,19
1163,21
1365,31
1568,8
1771,7
1973,9
2176,5
2378,2
2581,9
2784,12
2986,5
3189,3
3392,4
3594,4
3797,4
4000,4
150,55
352,24
555,18
757,18
960,11
1163,16
1365,0
1568,7
1771,5
1973,5
2176,6
2378,4
2581,2
2784,11
2986,3
3189,6
3392,1
3594,3
3797,7
4000,7
150,65
352,18
555,20
757,14
960,4
1163,8
1365,10
1568,5
1771,8
1973,5
2176,5
2378,3
2581,8
2784,7
2986,7
3189,6
3392,3
3594,6
3797,3
4000,2
150,68
352,42
555,17
757,20
960,23
1163,8
1365,8
1568,7
1771,14
1973,5
2176,10
2378,1
2581,7
2784,11
2986,3
3189,4
3392,7
3594,7
3797,3
4000,4
150,65
352,25
555,37
757,15
960,14
1163,4
1365,10
1568,6
1771,6
1973,7
2176,6
2378,4
2581,1
2784,4
2986,4
3189,4
3392,6
3594,4
3797,2
4000,4
150,60
352,31
555,30
757,19
960,5
1163,12
1365,13
1568,5
1771,6
1973,4
2176,7
2378,3
2581,8
2784,7
2986,1
3189,4
3392,9
3594,6
3797,4
4000,5
150,68
352,14
555,19
757,28
960,3
1163,12
1365,2
1568,11
1771,6
1973,5
2176,6
2378,11
2581,6
2784,2
2986,8
3189,4
3392,8
3594,6
3797,6
4000,7
150,73
352,28
555,20
757,10
960,10
1163,8
1365,6
1568,9
1771,9
1973,12
2176,5
2378,5
2581,6
2784,3
2986,6
3189,5
3392,9
3594,7
3797,6
4000,8
150,67
352,22
555,29
757,6
960,8
1163,3
1365,3
1568,8
1771,14
1973,5
2176,3
2378,2
2581,6
2784,5
2986,1
3189,5
3392,3
3594,4
3797,3
4000,3
150,62
352,46
555,13
757,10
960,13
1163,8
1365,10
1568,5
1771,6
1973,9
2176,10
2378,3
2581,1
2784,4
2986,7
3189,2
3392,4
3594,5
3797,7
4000,4
150,65
352,29
555,6
757,22
960,24
1163,5
1365,6
1568,6
1771,18
1973,5
2176,4
2378,2
2581,7
2784,7
2986,8
3189,8
3392,11
3594,5
3797,2
4000,8
150,68
352,34
555,25
757,12
960,16
1163,4
1365,6
1568,6
1771,8
1973,4
2176,4
2378,5
2581,4
2784,3
2986,3
3189,4
3392,4
3594,6
3797,5
4000,5
150,62
352,36
555,26
757,16
960,16
1163,20
1365,14
1568,11
1771,7
1973,11
2176,6
2378,6
2581,6
2784,2
2986,9
3189,3
3392,7
3594,3
3797,6
4000,7
150,74
352,38
555,0
757,17
960,27
1163,11
1365,2
1568,10
1771,0
1973,9
2176,10
2378,6
2581,6
2784,4
2986,5
3189,4
3392,6
3594,3
3797,8
4000,3
150,72
352,22
555,13
757,10
960,20
1163,10
1365,12
1568,1
1771,10
1973,4
2176,5
2378,4
2581,6
2784,5
2986,11
3189,3
3392,4
3594,5
3797,8
4000,5
150,66
352,12
555,25
757,5
960,3
1163,19
1365,5
1568,7
1771,12
1973,10
2176,1
2378,10
2581,2
2784,3
2986,3
3189,5
3392,3
3594,8
3797,5
4000,4
150,75
352,31
555,21
757,12
960,13
1163,6
1365,4
1568,8
1771,3
1973,5
2176,6
2378,4
2581,6
2784,4
2986,9
3189,5
3392,8
3594,4
3797,7
4000,1
150,74
352,19
555,23
757,10
960,6
1163,6
1365,10
1568,6
1771,11
1973,16
2176,7
2378,6
2581,6
2784,3
2986,4
3189,7
3392,4
3594,1
3797,4
4000,10
150,79
352,29
555,17
757,16
960,12
1163,0
1365,3
1568,9
1771,4
1973,7
2176,8
2378,5
2581,4
2784,7
2986,2
3189,2
3392,2
3594,2
3797,6
4000,3
150,62
352,30
555,16
757,10
960,15
1163,3
1365,8
1568,4
1771,5
1973,10
2176,8
2378,4
2581,2
2784,7
2986,3
3189,7
3392,0
3594,0
3797,7
4000,4
150,65
352,7
555,14
757,15
960,15
1163,13
1365,8
1568,12
1771,14
1973,2
2176,10
2378,5
2581,4
2784,10
2986,9
3189,6
3392,8
3594,3
3797,3
4000,2
150,61
352,54
555,9
757,3
960,16
1163,19
1365,25
1568,10
1771,11
1973,5
2176,8
2378,4
2581,4
2784,5
2986,3
3189,6
3392,6
3594,3
3797,5
4000,9
150,65
352,24
555,22
757,8
960,13
1163,11
1365,10
1568,17
1771,8
1973,6
2176,4
2378,3
2581,8
2784,5
2986,5
3189,5
3392,4
3594,4
3797,7
4000,6
150,62
352,12
555,26
757,7
960,10
1163,19
1365,4
1568,19
1771,7
1973,5
2176,8
2378,9
2581,8
2784,6
2986,5
3189,6
3392,4
3594,7
3797,2
4000,7
150,64
352,26
555,16
757,13
960,10
1163,13
1365,6
1568,4
1771,8
1973,6
2176,3
2378,9
2581,6
2784,4
2986,8
3189,4
3392,8
3594,3
3797,6
4000,5
150,67
352,36
555,8
757,13
960,14
1163,23
1365,3
1568,5
1771,3
1973,11
2176,4
2378,5
2581,3
2784,5
2986,2
3189,7
3392,8
3594,2
3797,4
4000,5
150,67
352,24
555,26
757,4
960,30
1163,10
1365,4
1568,6
1771,9
1973,9
2176,9
2378,8
2581,9
2784,5
2986,8
3189,2
3392,6
3594,7
3797,5
4000,3
150,65
352,25
555,21
757,11
960,14
1163,10
1365,18
1568,15
1771,10
1973,8
2176,9
2378,6
2581,8
2784,8
2986,4
3189,8
3392,4
3594,3
3797,3
4000,5
150,66
352,17
555,20
757,19
960,8
1163,7
1365,9
1568,16
1771,5
1973,5
2176,5
2378,4
2581,3
2784,8
2986,8
3189,5
3392,2
3594,6
3797,4
4000,8
150,70
352,31
555,13
757,16
960,9
1163,13
1365,9
1568,28
1771,8
1973,6
2176,5
2378,6
2581,4
2784,5
2986,6
3189,4
3392,4
3594,5
3797,6
4000,5
150,65
352,44
555,23
757,2
960,10
1163,12
1365,10
1568,13
1771,10
1973,6
2176,5
2378,9
2581,2
2784,10
2986,2
3189,6
3392,3
3594,4
3797,2
4000,1
150,66
352,34
555,24
757,4
960,17
1163,8
1365,17
1568,9
1771,8
1973,12
2176,3
2378,10
2581,3
2784,10
2986,3
3189,7
3392,9
3594,2
3797,5
4000,2
150,73
352,29
555,29
757,19
960,4
1163,4
1365,8
1568,10
1771,6
1973,4
2176,5
2378,8
2581,3
2784,10
2986,5
3189,7
3392,3
3594,7
3797,5
4000,2
150,53
352,33
555,22
757,21
960,9
1163,13
1365,10
1568,8
1771,9
1973,2
2176,10
2378,7
2581,6
2784,8
2986,8
3189,8
3392,6
3594,8
3797,5
4000,6
150,66
352,50
555,25
757,7
960,5
1163,7
1365,12
1568,4
1771,6
1973,7
2176,6
2378,11
2581,7
2784,10
2986,5
3189,3
3392,7
3594,6
3797,2
4000,3
150,66
352,29
555,25
757,9
960,20
1163,17
1365,9
1568,12
1771,13
1973,8
2176,15
2378,4
2581,5
2784,7
2986,8
3189,5
3392,8
3594,10
3797,5
4000,3
150,57
352,27
555,12
757,7
960,15
1163,10
1365,6
1568,17
1771,4
1973,7
2176,6
2378,12
2581,2
2784,5
2986,6
3189,2
3392,7
3594,4
3797,2
4000,4
150,71
352,38
555,25
757,7
960,9
1163,12
1365,8
1568,8
1771,4
1973,8
2176,5
2378,6
2581,6
2784,5
2986,7
3189,5
3392,5
3594,4
3797,4
4000,6
150,68
352,20
555,25
757,12
960,13
1163,25
1365,5
1568,11
1771,8
1973,8
2176,6
2378,10
2581,9
2784,7
2986,6
3189,4
3392,3
3594,4
3797,4
4000,4
150,64
352,9
555,18
757,14
960,3
1163,13
1365,3
1568,6
1771,4
1973,2
2176,3
2378,5
2581,3
2784,4
2986,11
3189,6
3392,11
3594,5
3797,4
4000,6
150,65
352,26
555,14
757,16
960,8
1163,2
1365,8
1568,11
1771,5
1973,0
2176,3
2378,6
2581,4
2784,7
2986,5
3189,11
3392,6
3594,10
3797,2
4000,5
150,70
352,33
555,5
757,18
960,0
1163,12
1365,9
1568,15
1771,3
1973,7
2176,4
2378,6
2581,4
2784,8
2986,4
3189,3
3392,8
3594,5
3797,9
4000,2
150,58
352,29
555,22
757,20
960,10
1163,4
1365,5
1568,3
1771,7
1973,5
2176,8
2378,9
2581,5
2784,8
2986,10
3189,4
3392,7
3594,5
3797,5
4000,4
150,67
352,33
555,22
757,6
960,7
1163,11
1365,7
1568,6
1771,7
1973,2
2176,6
2378,7
2581,2
2784,5
2986,5
3189,4
3392,1
3594,5
3797,3
4000,9
150,61
352,39
555,30
757,5
960,3
1163,19
1365,15
1568,12
1771,7
1973,6
2176,5
2378,6
2581,6
2784,6
2986,11
3189,4
3392,6
3594,5
3797,6
4000,1
150,71
352,27
555,14
757,16
960,11
1163,11
1365,5
1568,9
1771,7
1973,7
2176,3
2378,8
2581,6
2784,7
2986,6
3189,4
3392,7
3594,3
3797,5
4000,5
150,63
352,39
555,7
757,13
960,6
1163,9
1365,8
1568,10
1771,8
1973,2
2176,6
2378,9
2581,8
2784,4
2986,7
3189,7
3392,2
3594,6
3797,5
4000,4
150,61
352,25
555,12
757,25
960,7
1163,7
1365,6
1568,3
1771,14
1973,11
2176,5
2378,7
2581,9
2784,3
2986,4
3189,4
3392,3
3594,6
3797,4
4000,4
150,71
352,27
555,25
757,13
960,9
1163,7
1365,2
1568,13
1771,7
1973,9
2176,13
2378,5
2581,3
2784,8
2986,3
3189,4
3392,2
3594,6
3797,7
4000,6
150,66
352,27
555,10
757,6
960,11
1163,11
1365,8
1568,8
1771,8
1973,8
2176,12
2378,4
2581,9
2784,9
2986,4
3189,9
3392,6
3594,3
3797,5
4000,2
150,67
352,29
555,24
757,17
960,21
1163,10
1365,5
1568,6
1771,15
1973,10
2176,3
2378,11
2581,4
2784,11
2986,6
3189,5
3392,2
3594,5
3797,5
4000,9
150,67
352,29
555,20
757,14
960,6
1163,16
1365,8
1568,11
1771,5
1973,2
2176,8
2378,6
2581,9
2784,5
2986,7
3189,2
3392,6
3594,6
3797,3
4000,4
150,69
352,31
555,16
757,13
960,13
1163,7
1365,13
1568,11
1771,7
1973,10
2176,5
2378,3
2581,8
2784,2
2986,7
3189,5
3392,6
3594,8
3797,11
4000,3
150,62
352,32
555,16
757,17
960,8
1163,33
1365,4
1568,13
1771,1
1973,4
2176,3
2378,2
2581,4
2784,4
2986,9
3189,5
3392,5
3594,6
3797,6
4000,5
150,79
352,29
555,28
757,4
960,19
1163,9
1365,9
1568,5
1771,7
1973,5
2176,7
2378,4
2581,9
2784,7
2986,4
3189,2
3392,8
3594,5
3797,2
4000,2
150,66
352,31
555,47
757,5
960,7
1163,4
1365,10
1568,7
1771,17
1973,2
2176,7
2378,8
2581,8
2784,9
2986,4
3189,8
3392,6
3594,3
3797,1
4000,5
150,76
352,32
555,24
757,15
960,10
1163,13
1365,15
1568,5
1771,9
1973,6
2176,12
2378,4
2581,3
2784,3
2986,2
3189,5
3392,1
3594,3
3797,3
4000,4
150,66
352,30
555,17
757,33
960,12
1163,7
1365,9
1568,6
1771,5
1973,3
2176,4
2378,10
2581,9
2784,4
2986,3
3189,5
3392,5
3594,5
3797,3
4000,5
150,67
352,35
555,11
757,7
960,8
1163,13
1365,5
1568,3
1771,11
1973,7
2176,7
2378,6
2581,5
2784,4
2986,9
3189,7
3392,5
3594,4
3797,5
4000,6
150,62
352,11
555,18
757,11
960,9
1163,8
1365,3
1568,7
1771,5
1973,10
2176,7
2378,3
2581,5
2784,5
2986,7
3189,8
3392,8
3594,6
3797,4
4000,5
150,64
352,28
555,22
757,13
960,4
1163,3
1365,6
1568,11
1771,6
1973,15
2176,9
2378,8
2581,5
2784,5
2986,5
3189,6
3392,6
3594,3
3797,6
4000,3
150,78
352,36
555,5
757,9
960,8
1163,5
1365,13
1568,8
1771,8
1973,8
2176,3
2378,8
2581,4
2784,7
2986,6
3189,1
3392,11
3594,1
3797,8
4000,4
150,68
352,29
555,17
757,1
960,15
1163,10
1365,14
1568,15
1771,7
1973,9
2176,7
2378,2
2581,2
2784,13
2986,10
3189,6
3392,6
3594,7
3797,3
4000,5
150,69
352,28
555,21
757,10
960,15
1163,11
1365,11
1568,9
1771,8
1973,11
2176,6
2378,3
2581,12
2784,7
2986,5
3189,4
3392,5
3594,5
3797,4
4000,4
150,65
352,48
555,19
757,13
960,6
1163,8
1365,26
1568,9
1771,9
1973,3
2176,7
2378,6
2581,3
2784,6
2986,2
3189,7
3392,5
3594,6
3797,7
4000,4
150,82
352,24
555,36
757,8
960,28
1163,13
1365,7
1568,7
1771,6
1973,6
2176,3
2378,6
2581,6
2784,3
2986,6
3189,4
3392,9
3594,9
3797,6
4000,4
150,62
352,40
555,24
757,9
960,10
1163,5
1365,5
1568,5
1771,5
1973,5
2176,8
2378,6
2581,5
2784,7
2986,3
3189,5
3392,5
3594,10
3797,6
4000,5
150,65
352,59
555,14
757,27
960,9
1163,13
1365,7
1568,8
1771,7
1973,9
2176,2
2378,8
2581,6
2784,2
2986,7
3189,7
3392,5
3594,6
3797,4
4000,8
150,66
352,40
555,13
757,31
960,16
1163,10
1365,11
1568,8
1771,8
1973,7
2176,2
2378,4
2581,3
2784,4
2986,6
3189,4
3392,6
3594,7
3797,5
4000,6
150,66
352,19
555,14
757,17
960,9
1163,5
1365,23
1568,8
1771,7
1973,7
2176,4
2378,2
2581,3
2784,11
2986,4
3189,9
3392,9
3594,3
3797,6
4000,5
150,66
352,25
555,23
757,22
960,3
1163,9
1365,6
1568,10
1771,7
1973,7
2176,10
2378,10
2581,6
2784,4
2986,4
3189,6
3392,4
3594,6
3797,6
4000,2
150,73
352,50
555,17
757,19
960,15
1163,3
1365,31
1568,8
1771,4
1973,6
2176,4
2378,4
2581,1
2784,2
2986,10
3189,2
3392,3
3594,8
3797,7
4000,5
150,68
352,31
555,22
757,14
960,3
1163,6
1365,1
1568,12
1771,14
1973,6
2176,5
2378,16
2581,6
2784,7
2986,8
3189,7
3392,5
3594,9
3797,3
4000,5
150,63
352,25
555,26
757,17
960,9
1163,16
1365,7
1568,3
1771,4
1973,5
2176,11
2378,11
2581,5
2784,6
2986,12
3189,3
3392,1
3594,4
3797,4
4000,2
150,81
352,25
555,28
757,16
960,8
1163,6
1365,9
1568,8
1771,6
1973,8
2176,4
2378,7
2581,8
2784,4
2986,5
3189,3
3392,1
3594,3
3797,7
4000,3
150,72
352,33
555,23
757,21
960,12
1163,10
1365,10
1568,6
1771,4
1973,2
2176,5
2378,6
2581,6
2784,7
2986,0
3189,3
3392,3
3594,5
3797,6
4000,6
150,70
352,39
555,21
757,22
960,5
1163,7
1365,16
1568,7
1771,5
1973,11
2176,8
2378,2
2581,6
2784,9
2986,4
3189,7
3392,7
3594,8
3797,2
4000,6
150,70
352,25
555,19
757,25
960,23
1163,7
1365,9
1568,3
1771,13
1973,8
2176,5
2378,2
2581,9
2784,15
2986,9
3189,8
3392,8
3594,0
3797,2
4000,5
150,69
352,34
555,19
757,52
960,6
1163,6
1365,9
1568,8
1771,11
1973,9
2176,8
2378,13
2581,4
2784,5
2986,7
3189,4
3392,1
3594,2
3797,4
4000,7
150,68
352,41
555,18
757,23
960,2
1163,16
1365,9
1568,8
